0.000	2.492	2.762	2.567	9.815
10.000	2.455	2.760	2.583	9.815
20.000	2.430	2.755	2.595	9.815
30.000	2.425	2.747	2.602	9.815
40.000	2.438	2.736	2.607	9.815
50.000	2.467	2.721	2.610	9.815
60.000	2.505	2.700	2.612	9.815
70.000	2.544	2.676	2.615	9.815
80.000	2.585	2.644	2.615	9.815
90.000	2.620	2.610	2.617	9.815
100.000	2.651	2.569	2.618	9.815
110.000	2.678	2.524	2.617	9.815
120.000	2.698	2.479	2.617	9.815
130.000	2.714	2.438	2.615	9.815
140.000	2.727	2.410	2.613	9.815
150.000	2.734	2.402	2.608	9.815
160.000	2.740	2.418	2.600	9.815
170.000	2.742	2.452	2.588	9.815
180.000	2.744	2.495	2.571	9.815
190.000	2.745	2.537	2.551	9.815
200.000	2.748	2.582	2.523	9.815
210.000	2.748	2.620	2.492	9.815
220.000	2.750	2.655	2.454	9.815
230.000	2.750	2.681	2.416	9.815
240.000	2.749	2.703	2.373	9.815
250.000	2.748	2.721	2.333	9.815
260.000	2.744	2.734	2.305	9.815
270.000	2.739	2.744	2.295	9.815
280.000	2.730	2.750	2.305	9.815
290.000	2.717	2.754	2.332	9.815
300.000	2.699	2.756	2.370	9.815
310.000	2.676	2.759	2.410	9.815
320.000	2.649	2.761	2.450	9.815
330.000	2.615	2.763	2.487	9.815
340.000	2.577	2.764	2.519	9.815
350.000	2.535	2.763	2.545	9.815
