3	0.800	213.708	6.436	0.640	5.296	0.000	0.000	0.000	1.0	0.0	0.000	1	3	8	0
3	0.800	234.408	7.014	0.640	5.874	0.000	0.000	0.000	1.0	0.0	0.000	1	3	8	0
3	0.800	273.756	8.111	0.640	6.971	0.000	0.000	0.000	1.0	0.0	0.000	1	3	8	0
3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.3	0.0	0.000	1	16	16	-8
