0.000	2.493	2.766	2.572	9.881
10.000	2.457	2.763	2.587	9.881
20.000	2.432	2.758	2.599	9.881
30.000	2.427	2.751	2.607	9.881
40.000	2.440	2.739	2.611	9.881
50.000	2.470	2.724	2.614	9.881
60.000	2.508	2.703	2.615	9.881
70.000	2.549	2.678	2.618	9.881
80.000	2.588	2.648	2.619	9.881
90.000	2.624	2.612	2.620	9.881
100.000	2.655	2.572	2.621	9.881
110.000	2.681	2.527	2.621	9.881
120.000	2.702	2.482	2.621	9.881
130.000	2.718	2.440	2.619	9.881
140.000	2.730	2.414	2.617	9.881
150.000	2.738	2.406	2.612	9.881
160.000	2.743	2.422	2.603	9.881
170.000	2.746	2.456	2.591	9.881
180.000	2.747	2.500	2.574	9.881
190.000	2.748	2.543	2.553	9.881
200.000	2.750	2.585	2.527	9.881
210.000	2.751	2.625	2.494	9.881
220.000	2.753	2.658	2.458	9.881
230.000	2.753	2.685	2.419	9.881
240.000	2.752	2.707	2.376	9.881
250.000	2.750	2.725	2.336	9.881
260.000	2.747	2.738	2.309	9.881
270.000	2.741	2.748	2.298	9.881
280.000	2.733	2.754	2.309	9.881
290.000	2.720	2.758	2.336	9.881
300.000	2.702	2.760	2.374	9.881
310.000	2.679	2.763	2.414	9.881
320.000	2.651	2.765	2.455	9.881
330.000	2.617	2.767	2.491	9.881
340.000	2.580	2.767	2.522	9.881
350.000	2.539	2.766	2.548	9.881
